ID,Summary_Group,Summary_Type,FormatCode,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Total,BatchNo,AuditDate,Hotel_ID
795,Total Revenue,F&B Revenue,C,710.64,163.27,148.18,98.63,69.54,983.27,1430.92,3604.45,20220419-070254,2022-01-29,1
796,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070254,2022-01-29,1
797,Total Revenue,Other Revenue,C,883.80,95.46,276.34,201.82,323.85,483.63,1819.64,4084.54,20220419-070254,2022-01-29,1
798,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070254,2022-01-29,1
799,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070257,2022-01-30,1
800,Key Staticstics,Room Occupied,N,23.00,33.00,29.00,19.00,36.00,100.00,23.00,263.00,20220419-070257,2022-01-30,1
801,Key Staticstics,# of Guest,N,36.00,52.00,47.00,32.00,68.00,195.00,42.00,472.00,20220419-070257,2022-01-30,1
802,Key Staticstics,Room Density,N2,1.57,1.58,1.62,1.68,1.89,1.95,1.83,1.79,20220419-070257,2022-01-30,1
803,Key Staticstics,No of Arrivals,N,556.00,579.00,594.00,601.00,631.00,710.00,721.00,4392.00,20220419-070257,2022-01-30,1
804,Key Staticstics,No of Departure,N,587.00,600.00,619.00,636.00,649.00,664.00,752.00,4507.00,20220419-070257,2022-01-30,1
805,Key Staticstics,Occupancy %,P,8.98,12.89,11.33,7.42,14.06,39.06,8.98,14.67,20220419-070257,2022-01-30,1
806,Key Staticstics,Avg Daily Rate,C2,131.63,134.76,142.01,160.84,418.34,212.79,165.12,208.31,20220419-070257,2022-01-30,1
807,Key Staticstics,RevPAR,C2,11.83,17.37,16.09,11.94,58.83,83.12,14.83,30.57,20220419-070257,2022-01-30,1
808,Total Revenue,Total Revenue,C,3286.14,4871.60,4418.82,3449.44,16527.07,24529.89,5587.53,62670.49,20220419-070257,2022-01-30,1
809,Total Revenue,Total Rev POR,C,12.84,19.03,17.26,13.47,64.56,95.82,21.83,34.97,20220419-070257,2022-01-30,1
810,Total Revenue,Avg Spend/Guest,C2,91.28,93.68,94.02,107.80,243.05,125.79,133.04,132.78,20220419-070257,2022-01-30,1
811,Total Revenue,Breakfast Capture %,P,16.67,16.67,2.56,1.54,2.56,9.23,31.79,11.57,20220419-070257,2022-01-30,1
812,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070257,2022-01-30,1
813,Total Revenue,Room Revenue,C2,3027.41,4447.08,4118.37,3056.05,15060.17,21279.33,3797.65,54786.06,20220419-070257,2022-01-30,1
814,Total Revenue,F&B Revenue,C,163.27,148.18,98.63,69.54,983.27,1430.92,752.74,3646.55,20220419-070257,2022-01-30,1
815,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070257,2022-01-30,1
816,Total Revenue,Other Revenue,C,95.46,276.34,201.82,323.85,483.63,1819.64,1037.14,4237.88,20220419-070257,2022-01-30,1
817,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070257,2022-01-30,1
818,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070300,2022-01-31,1
819,Key Staticstics,Room Occupied,N,33.00,29.00,19.00,36.00,100.00,23.00,17.00,257.00,20220419-070300,2022-01-31,1
820,Key Staticstics,# of Guest,N,52.00,47.00,32.00,68.00,195.00,42.00,28.00,464.00,20220419-070300,2022-01-31,1
821,Key Staticstics,Room Density,N2,1.58,1.62,1.68,1.89,1.95,1.83,1.65,1.81,20220419-070300,2022-01-31,1
822,Key Staticstics,No of Arrivals,N,579.00,594.00,601.00,631.00,710.00,721.00,732.00,4568.00,20220419-070300,2022-01-31,1
823,Key Staticstics,No of Departure,N,600.00,619.00,636.00,649.00,664.00,752.00,769.00,4689.00,20220419-070300,2022-01-31,1
824,Key Staticstics,Occupancy %,P,12.89,11.33,7.42,14.06,39.06,8.98,6.64,14.34,20220419-070300,2022-01-31,1
825,Key Staticstics,Avg Daily Rate,C2,134.76,142.01,160.84,418.34,212.79,165.12,209.32,215.24,20220419-070300,2022-01-31,1
826,Key Staticstics,RevPAR,C2,17.37,16.09,11.94,58.83,83.12,14.83,13.90,30.87,20220419-070300,2022-01-31,1
827,Total Revenue,Total Revenue,C,4871.60,4418.82,3449.44,16527.07,24529.89,5587.53,3980.53,63364.88,20220419-070300,2022-01-31,1
828,Total Revenue,Total Rev POR,C,19.03,17.26,13.47,64.56,95.82,21.83,15.55,35.36,20220419-070300,2022-01-31,1
829,Total Revenue,Avg Spend/Guest,C2,93.68,94.02,107.80,243.05,125.79,133.04,142.16,136.56,20220419-070300,2022-01-31,1
830,Total Revenue,Breakfast Capture %,P,16.67,9.62,7.14,11.90,42.86,147.62,23.81,37.09,20220419-070300,2022-01-31,1
831,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070300,2022-01-31,1
832,Total Revenue,Room Revenue,C2,4447.08,4118.37,3056.05,15060.17,21279.33,3797.65,3558.41,55317.06,20220419-070300,2022-01-31,1
833,Total Revenue,F&B Revenue,C,148.18,98.63,69.54,983.27,1430.92,752.74,162.73,3646.01,20220419-070300,2022-01-31,1
834,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070300,2022-01-31,1
835,Total Revenue,Other Revenue,C,276.34,201.82,323.85,483.63,1819.64,1037.14,259.39,4401.81,20220419-070300,2022-01-31,1
836,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070300,2022-01-31,1
837,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070303,2022-02-01,1
838,Key Staticstics,Room Occupied,N,29.00,19.00,36.00,100.00,23.00,17.00,15.00,239.00,20220419-070303,2022-02-01,1
839,Key Staticstics,# of Guest,N,47.00,32.00,68.00,195.00,42.00,28.00,22.00,434.00,20220419-070303,2022-02-01,1
840,Key Staticstics,Room Density,N2,1.62,1.68,1.89,1.95,1.83,1.65,1.47,1.82,20220419-070303,2022-02-01,1
841,Key Staticstics,No of Arrivals,N,594.00,601.00,631.00,710.00,721.00,732.00,5.00,3994.00,20220419-070303,2022-02-01,1
842,Key Staticstics,No of Departure,N,619.00,636.00,649.00,664.00,752.00,769.00,7.00,4096.00,20220419-070303,2022-02-01,1
843,Key Staticstics,Occupancy %,P,11.33,7.42,14.06,39.06,8.98,6.64,5.86,13.34,20220419-070303,2022-02-01,1
844,Key Staticstics,Avg Daily Rate,C2,142.01,160.84,418.34,212.79,165.12,209.32,184.67,224.44,20220419-070303,2022-02-01,1
845,Key Staticstics,RevPAR,C2,16.09,11.94,58.83,83.12,14.83,13.90,10.82,29.93,20220419-070303,2022-02-01,1
846,Total Revenue,Total Revenue,C,4418.82,3449.44,16527.07,24529.89,5587.53,3980.53,3072.27,61565.55,20220419-070303,2022-02-01,1
847,Total Revenue,Total Rev POR,C,17.26,13.47,64.56,95.82,21.83,15.55,12.00,34.36,20220419-070303,2022-02-01,1
848,Total Revenue,Avg Spend/Guest,C2,94.02,107.80,243.05,125.79,133.04,142.16,139.65,141.86,20220419-070303,2022-02-01,1
849,Total Revenue,Breakfast Capture %,P,9.62,6.38,17.86,64.29,221.43,35.71,NULL,NULL,20220419-070303,2022-02-01,1
850,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00,20220419-070303,2022-02-01,1
851,Total Revenue,Room Revenue,C2,4118.37,3056.05,15060.17,21279.33,3797.65,3558.41,2770.01,53639.99,20220419-070303,2022-02-01,1
852,Total Revenue,F&B Revenue,C,98.63,69.54,983.27,1430.92,752.74,162.73,46.81,3544.64,20220419-070303,2022-02-01,1
853,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070303,2022-02-01,1
854,Total Revenue,Other Revenue,C,201.82,323.85,483.63,1819.64,1037.14,259.39,255.45,4380.92,20220419-070303,2022-02-01,1
855,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070303,2022-02-01,1
856,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070307,2022-02-02,1
857,Key Staticstics,Room Occupied,N,19.00,36.00,100.00,23.00,17.00,15.00,19.00,229.00,20220419-070307,2022-02-02,1
858,Key Staticstics,# of Guest,N,32.00,68.00,195.00,42.00,28.00,22.00,26.00,413.00,20220419-070307,2022-02-02,1
859,Key Staticstics,Room Density,N2,1.68,1.89,1.95,1.83,1.65,1.47,1.37,1.80,20220419-070307,2022-02-02,1
860,Key Staticstics,No of Arrivals,N,601.00,631.00,710.00,721.00,732.00,5.00,14.00,3414.00,20220419-070307,2022-02-02,1
861,Key Staticstics,No of Departure,N,636.00,649.00,664.00,752.00,769.00,7.00,12.00,3489.00,20220419-070307,2022-02-02,1
862,Key Staticstics,Occupancy %,P,7.42,14.06,39.06,8.98,6.64,5.86,7.42,12.78,20220419-070307,2022-02-02,1
863,Key Staticstics,Avg Daily Rate,C2,160.84,418.34,212.79,165.12,209.32,184.67,151.65,228.83,20220419-070307,2022-02-02,1
864,Key Staticstics,RevPAR,C2,11.94,58.83,83.12,14.83,13.90,10.82,11.26,29.24,20220419-070307,2022-02-02,1
865,Total Revenue,Total Revenue,C,3449.44,16527.07,24529.89,5587.53,3980.53,3072.27,3115.10,60261.83,20220419-070307,2022-02-02,1
866,Total Revenue,Total Rev POR,C,13.47,64.56,95.82,21.83,15.55,12.00,12.17,33.63,20220419-070307,2022-02-02,1
867,Total Revenue,Avg Spend/Guest,C2,107.80,243.05,125.79,133.04,142.16,139.65,119.81,145.91,20220419-070307,2022-02-02,1
868,Total Revenue,Breakfast Capture %,P,6.38,15.63,81.82,281.82,45.45,NULL,NULL,NULL,20220419-070307,2022-02-02,1
869,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,NULL,0.00,0.00,0.00,20220419-070307,2022-02-02,1
870,Total Revenue,Room Revenue,C2,3056.05,15060.17,21279.33,3797.65,3558.41,2770.01,2881.28,52402.90,20220419-070307,2022-02-02,1
871,Total Revenue,F&B Revenue,C,69.54,983.27,1430.92,752.74,162.73,46.81,26.64,3472.65,20220419-070307,2022-02-02,1
872,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070307,2022-02-02,1
873,Total Revenue,Other Revenue,C,323.85,483.63,1819.64,1037.14,259.39,255.45,207.18,4386.28,20220419-070307,2022-02-02,1
874,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070307,2022-02-02,1
875,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070310,2022-02-03,1
876,Key Staticstics,Room Occupied,N,36.00,100.00,23.00,17.00,15.00,19.00,23.00,233.00,20220419-070310,2022-02-03,1
877,Key Staticstics,# of Guest,N,68.00,195.00,42.00,28.00,22.00,26.00,35.00,416.00,20220419-070310,2022-02-03,1
878,Key Staticstics,Room Density,N2,1.89,1.95,1.83,1.65,1.47,1.37,1.52,1.79,20220419-070310,2022-02-03,1
879,Key Staticstics,No of Arrivals,N,631.00,710.00,721.00,732.00,5.00,14.00,25.00,2838.00,20220419-070310,2022-02-03,1
880,Key Staticstics,No of Departure,N,649.00,664.00,752.00,769.00,7.00,12.00,19.00,2872.00,20220419-070310,2022-02-03,1
881,Key Staticstics,Occupancy %,P,14.06,39.06,8.98,6.64,5.86,7.42,8.98,13.00,20220419-070310,2022-02-03,1
882,Key Staticstics,Avg Daily Rate,C2,418.34,212.79,165.12,209.32,184.67,151.65,158.86,227.47,20220419-070310,2022-02-03,1
883,Key Staticstics,RevPAR,C2,58.83,83.12,14.83,13.90,10.82,11.26,14.27,29.58,20220419-070310,2022-02-03,1
884,Total Revenue,Total Revenue,C,16527.07,24529.89,5587.53,3980.53,3072.27,3115.10,11719.19,68531.58,20220419-070310,2022-02-03,1
885,Total Revenue,Total Rev POR,C,64.56,95.82,21.83,15.55,12.00,12.17,45.78,38.24,20220419-070310,2022-02-03,1
886,Total Revenue,Avg Spend/Guest,C2,243.05,125.79,133.04,142.16,139.65,119.81,334.83,164.74,20220419-070310,2022-02-03,1
887,Total Revenue,Breakfast Capture %,P,15.63,26.47,238.46,38.46,NULL,NULL,NULL,NULL,20220419-070310,2022-02-03,1
888,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,20220419-070310,2022-02-03,1
889,Total Revenue,Room Revenue,C2,15060.17,21279.33,3797.65,3558.41,2770.01,2881.28,3653.86,53000.71,20220419-070310,2022-02-03,1
890,Total Revenue,F&B Revenue,C,983.27,1430.92,752.74,162.73,46.81,26.64,28.18,3431.29,20220419-070310,2022-02-03,1
891,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070310,2022-02-03,1
892,Total Revenue,Other Revenue,C,483.63,1819.64,1037.14,259.39,255.45,207.18,8037.15,12099.58,20220419-070310,2022-02-03,1
893,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070310,2022-02-03,1
894,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070313,2022-02-04,1
895,Key Staticstics,Room Occupied,N,100.00,23.00,17.00,15.00,19.00,23.00,58.00,255.00,20220419-070313,2022-02-04,1
896,Key Staticstics,# of Guest,N,195.00,42.00,28.00,22.00,26.00,35.00,107.00,455.00,20220419-070313,2022-02-04,1
897,Key Staticstics,Room Density,N2,1.95,1.83,1.65,1.47,1.37,1.52,1.84,1.78,20220419-070313,2022-02-04,1
898,Key Staticstics,No of Arrivals,N,710.00,721.00,732.00,5.00,14.00,25.00,73.00,2280.00,20220419-070313,2022-02-04,1
899,Key Staticstics,No of Departure,N,664.00,752.00,769.00,7.00,12.00,19.00,32.00,2255.00,20220419-070313,2022-02-04,1
900,Key Staticstics,Occupancy %,P,39.06,8.98,6.64,5.86,7.42,8.98,22.66,14.23,20220419-070313,2022-02-04,1
901,Key Staticstics,Avg Daily Rate,C2,212.79,165.12,209.32,184.67,151.65,158.86,173.85,188.33,20220419-070313,2022-02-04,1
902,Key Staticstics,RevPAR,C2,83.12,14.83,13.90,10.82,11.26,14.27,39.39,26.80,20220419-070313,2022-02-04,1
903,Total Revenue,Total Revenue,C,24529.89,5587.53,3980.53,3072.27,3115.10,11719.19,11040.59,63045.10,20220419-070313,2022-02-04,1
904,Total Revenue,Total Rev POR,C,95.82,21.83,15.55,12.00,12.17,45.78,43.13,35.18,20220419-070313,2022-02-04,1
905,Total Revenue,Avg Spend/Guest,C2,125.79,133.04,142.16,139.65,119.81,334.83,103.18,138.56,20220419-070313,2022-02-04,1
906,Total Revenue,Breakfast Capture %,P,26.47,31.79,28.57,NULL,NULL,NULL,NULL,NULL,20220419-070313,2022-02-04,1
907,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,20220419-070313,2022-02-04,1
908,Total Revenue,Room Revenue,C2,21279.33,3797.65,3558.41,2770.01,2881.28,3653.86,10083.42,48023.96,20220419-070313,2022-02-04,1
909,Total Revenue,F&B Revenue,C,1430.92,752.74,162.73,46.81,26.64,28.18,398.00,2846.02,20220419-070313,2022-02-04,1
910,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070313,2022-02-04,1
911,Total Revenue,Other Revenue,C,1819.64,1037.14,259.39,255.45,207.18,8037.15,559.17,12175.12,20220419-070313,2022-02-04,1
912,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070313,2022-02-04,1
913,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070316,2022-02-05,1
914,Key Staticstics,Room Occupied,N,23.00,17.00,15.00,19.00,23.00,58.00,89.00,244.00,20220419-070316,2022-02-05,1
915,Key Staticstics,# of Guest,N,42.00,28.00,22.00,26.00,35.00,107.00,171.00,431.00,20220419-070316,2022-02-05,1
916,Key Staticstics,Room Density,N2,1.83,1.65,1.47,1.37,1.52,1.84,1.92,1.77,20220419-070316,2022-02-05,1
917,Key Staticstics,No of Arrivals,N,721.00,732.00,5.00,14.00,25.00,73.00,128.00,1698.00,20220419-070316,2022-02-05,1
918,Key Staticstics,No of Departure,N,752.00,769.00,7.00,12.00,19.00,32.00,56.00,1647.00,20220419-070316,2022-02-05,1
919,Key Staticstics,Occupancy %,P,8.98,6.64,5.86,7.42,8.98,22.66,34.77,13.62,20220419-070316,2022-02-05,1
920,Key Staticstics,Avg Daily Rate,C2,165.12,209.32,184.67,151.65,158.86,173.85,208.43,185.64,20220419-070316,2022-02-05,1
921,Key Staticstics,RevPAR,C2,14.83,13.90,10.82,11.26,14.27,39.39,72.46,25.28,20220419-070316,2022-02-05,1
922,Total Revenue,Total Revenue,C,5587.53,3980.53,3072.27,3115.10,11719.19,11040.59,21140.97,59656.18,20220419-070316,2022-02-05,1
923,Total Revenue,Total Rev POR,C,21.83,15.55,12.00,12.17,45.78,43.13,82.58,33.29,20220419-070316,2022-02-05,1
924,Total Revenue,Avg Spend/Guest,C2,133.04,142.16,139.65,119.81,334.83,103.18,123.63,138.41,20220419-070316,2022-02-05,1
925,Total Revenue,Breakfast Capture %,P,31.79,23.81,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070316,2022-02-05,1
926,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070316,2022-02-05,1
927,Total Revenue,Room Revenue,C2,3797.65,3558.41,2770.01,2881.28,3653.86,10083.42,18550.52,45295.15,20220419-070316,2022-02-05,1
928,Total Revenue,F&B Revenue,C,752.74,162.73,46.81,26.64,28.18,398.00,1081.64,2496.74,20220419-070316,2022-02-05,1
929,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070316,2022-02-05,1
930,Total Revenue,Other Revenue,C,1037.14,259.39,255.45,207.18,8037.15,559.17,1508.81,11864.29,20220419-070316,2022-02-05,1
931,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070316,2022-02-05,1
932,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070320,2022-02-06,1
933,Key Staticstics,Room Occupied,N,17.00,15.00,19.00,23.00,58.00,89.00,32.00,253.00,20220419-070320,2022-02-06,1
934,Key Staticstics,# of Guest,N,28.00,22.00,26.00,35.00,107.00,171.00,53.00,442.00,20220419-070320,2022-02-06,1
935,Key Staticstics,Room Density,N2,1.65,1.47,1.37,1.52,1.84,1.92,1.66,1.75,20220419-070320,2022-02-06,1
936,Key Staticstics,No of Arrivals,N,732.00,5.00,14.00,25.00,73.00,128.00,143.00,1120.00,20220419-070320,2022-02-06,1
937,Key Staticstics,No of Departure,N,769.00,7.00,12.00,19.00,32.00,56.00,128.00,1023.00,20220419-070320,2022-02-06,1
938,Key Staticstics,Occupancy %,P,6.64,5.86,7.42,8.98,22.66,34.77,12.50,14.12,20220419-070320,2022-02-06,1
939,Key Staticstics,Avg Daily Rate,C2,209.32,184.67,151.65,158.86,173.85,208.43,139.30,181.64,20220419-070320,2022-02-06,1
940,Key Staticstics,RevPAR,C2,13.90,10.82,11.26,14.27,39.39,72.46,17.41,25.64,20220419-070320,2022-02-06,1
941,Total Revenue,Total Revenue,C,3980.53,3072.27,3115.10,11719.19,11040.59,21140.97,5554.39,59623.04,20220419-070320,2022-02-06,1
942,Total Revenue,Total Rev POR,C,15.55,12.00,12.17,45.78,43.13,82.58,21.70,33.27,20220419-070320,2022-02-06,1
943,Total Revenue,Avg Spend/Guest,C2,142.16,139.65,119.81,334.83,103.18,123.63,104.80,134.89,20220419-070320,2022-02-06,1
944,Total Revenue,Breakfast Capture %,P,23.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070320,2022-02-06,1
945,Total Revenue,Avg Bkfst Spend/Cover,C,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070320,2022-02-06,1
946,Total Revenue,Room Revenue,C2,3558.41,2770.01,2881.28,3653.86,10083.42,18550.52,4457.53,45955.03,20220419-070320,2022-02-06,1
947,Total Revenue,F&B Revenue,C,162.73,46.81,26.64,28.18,398.00,1081.64,634.54,2378.54,20220419-070320,2022-02-06,1
948,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070320,2022-02-06,1
949,Total Revenue,Other Revenue,C,259.39,255.45,207.18,8037.15,559.17,1508.81,462.32,11289.47,20220419-070320,2022-02-06,1
950,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070320,2022-02-06,1
951,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070323,2022-02-07,1
952,Key Staticstics,Room Occupied,N,15.00,19.00,23.00,58.00,89.00,32.00,22.00,258.00,20220419-070323,2022-02-07,1
953,Key Staticstics,# of Guest,N,22.00,26.00,35.00,107.00,171.00,53.00,36.00,450.00,20220419-070323,2022-02-07,1
954,Key Staticstics,Room Density,N2,1.47,1.37,1.52,1.84,1.92,1.66,1.64,1.74,20220419-070323,2022-02-07,1
955,Key Staticstics,No of Arrivals,N,5.00,14.00,25.00,73.00,128.00,143.00,156.00,544.00,20220419-070323,2022-02-07,1
956,Key Staticstics,No of Departure,N,7.00,12.00,19.00,32.00,56.00,128.00,151.00,405.00,20220419-070323,2022-02-07,1
957,Key Staticstics,Occupancy %,P,5.86,7.42,8.98,22.66,34.77,12.50,8.59,14.40,20220419-070323,2022-02-07,1
958,Key Staticstics,Avg Daily Rate,C2,184.67,151.65,158.86,173.85,208.43,139.30,150.90,177.20,20220419-070323,2022-02-07,1
959,Key Staticstics,RevPAR,C2,10.82,11.26,14.27,39.39,72.46,17.41,12.97,25.51,20220419-070323,2022-02-07,1
960,Total Revenue,Total Revenue,C,3072.27,3115.10,11719.19,11040.59,21140.97,5554.39,3709.63,59352.14,20220419-070323,2022-02-07,1
961,Total Revenue,Total Rev POR,C,12.00,12.17,45.78,43.13,82.58,21.70,14.49,33.12,20220419-070323,2022-02-07,1
962,Total Revenue,Avg Spend/Guest,C2,139.65,119.81,334.83,103.18,123.63,104.80,103.05,131.89,20220419-070323,2022-02-07,1
963,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070323,2022-02-07,1
964,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070323,2022-02-07,1
965,Total Revenue,Room Revenue,C2,2770.01,2881.28,3653.86,10083.42,18550.52,4457.53,3319.71,45716.33,20220419-070323,2022-02-07,1
966,Total Revenue,F&B Revenue,C,46.81,26.64,28.18,398.00,1081.64,634.54,153.18,2368.99,20220419-070323,2022-02-07,1
967,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070323,2022-02-07,1
968,Total Revenue,Other Revenue,C,255.45,207.18,8037.15,559.17,1508.81,462.32,236.74,11266.82,20220419-070323,2022-02-07,1
969,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070323,2022-02-07,1
970,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070326,2022-02-08,1
971,Key Staticstics,Room Occupied,N,19.00,23.00,58.00,89.00,32.00,22.00,30.00,273.00,20220419-070326,2022-02-08,1
972,Key Staticstics,# of Guest,N,26.00,35.00,107.00,171.00,53.00,36.00,49.00,477.00,20220419-070326,2022-02-08,1
973,Key Staticstics,Room Density,N2,1.37,1.52,1.84,1.92,1.66,1.64,1.63,1.75,20220419-070326,2022-02-08,1
974,Key Staticstics,No of Arrivals,N,14.00,25.00,73.00,128.00,143.00,156.00,173.00,712.00,20220419-070326,2022-02-08,1
975,Key Staticstics,No of Departure,N,12.00,19.00,32.00,56.00,128.00,151.00,160.00,558.00,20220419-070326,2022-02-08,1
976,Key Staticstics,Occupancy %,P,7.42,8.98,22.66,34.77,12.50,8.59,11.72,15.23,20220419-070326,2022-02-08,1
977,Key Staticstics,Avg Daily Rate,C2,151.65,158.86,173.85,208.43,139.30,150.90,156.23,174.48,20220419-070326,2022-02-08,1
978,Key Staticstics,RevPAR,C2,11.26,14.27,39.39,72.46,17.41,12.97,18.31,26.58,20220419-070326,2022-02-08,1
979,Total Revenue,Total Revenue,C,3115.10,11719.19,11040.59,21140.97,5554.39,3709.63,5260.14,61540.01,20220419-070326,2022-02-08,1
980,Total Revenue,Total Rev POR,C,12.17,45.78,43.13,82.58,21.70,14.49,20.55,34.34,20220419-070326,2022-02-08,1
981,Total Revenue,Avg Spend/Guest,C2,119.81,334.83,103.18,123.63,104.80,103.05,107.35,129.01,20220419-070326,2022-02-08,1
982,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070326,2022-02-08,1
983,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070326,2022-02-08,1
984,Total Revenue,Room Revenue,C2,2881.28,3653.86,10083.42,18550.52,4457.53,3319.71,4686.78,47633.10,20220419-070326,2022-02-08,1
985,Total Revenue,F&B Revenue,C,26.64,28.18,398.00,1081.64,634.54,153.18,123.90,2446.08,20220419-070326,2022-02-08,1
986,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070326,2022-02-08,1
987,Total Revenue,Other Revenue,C,207.18,8037.15,559.17,1508.81,462.32,236.74,449.46,11460.83,20220419-070326,2022-02-08,1
988,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070326,2022-02-08,1
989,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070329,2022-02-09,1
990,Key Staticstics,Room Occupied,N,23.00,58.00,89.00,32.00,22.00,30.00,22.00,276.00,20220419-070329,2022-02-09,1
991,Key Staticstics,# of Guest,N,35.00,107.00,171.00,53.00,36.00,49.00,34.00,485.00,20220419-070329,2022-02-09,1
992,Key Staticstics,Room Density,N2,1.52,1.84,1.92,1.66,1.64,1.63,1.55,1.76,20220419-070329,2022-02-09,1
993,Key Staticstics,No of Arrivals,N,25.00,73.00,128.00,143.00,156.00,173.00,186.00,884.00,20220419-070329,2022-02-09,1
994,Key Staticstics,No of Departure,N,19.00,32.00,56.00,128.00,151.00,160.00,181.00,727.00,20220419-070329,2022-02-09,1
995,Key Staticstics,Occupancy %,P,8.98,22.66,34.77,12.50,8.59,11.72,8.59,15.40,20220419-070329,2022-02-09,1
996,Key Staticstics,Avg Daily Rate,C2,158.86,173.85,208.43,139.30,150.90,156.23,140.19,173.32,20220419-070329,2022-02-09,1
