S_NightAudit_ID,User_ID,IP_Address,Action,Dated,Browser_Used,ReportRun_ID
1892,4,110.93.82.151,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-13 07:53:34.000,Chrome,898
1893,4,110.93.82.151,Viewed Room Reconciliation After Roll Report Output Details,2022-01-13 07:53:34.000,Chrome,899
1894,4,110.93.82.151,Viewed No Shows Report Output Details,2022-01-13 07:53:35.000,Chrome,900
1895,4,110.93.82.151,Viewed FO Paid Out Report Output Details,2022-01-13 07:53:37.000,Chrome,901
1896,4,110.93.82.151,Viewed Credit Limit Report Output Details,2022-01-13 07:53:38.000,Chrome,902
1897,4,110.93.82.151,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-13 07:53:56.000,Chrome,869
1899,25,2001,Viewed CC Surcharge Report Output Details,2022-01-13 08:02:09.000,Chrome,874
1915,25,2001,Viewed Room Reconciliation After Roll Report Output Details,2022-01-13 08:25:52.000,Chrome,895
1954,21,59.100.129.30,Viewed PM PX Accounts Report Output Details,2022-01-14 01:27:10.000,Chrome,906
2096,21,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2022-01-16 01:56:22.000,Chrome,968
2098,21,59.100.129.30,Viewed Ogone Deposit Posting Report Output Details,2022-01-16 01:59:17.000,Chrome,973
2102,5,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-16 02:38:14.000,Chrome,974
2103,4,110.93.82.151,Viewed CC Surcharge Report Output Details,2022-01-16 02:44:55.000,Chrome,959
2104,4,110.93.82.151,Viewed Adjustment and Correction Report Output Details,2022-01-16 02:44:58.000,Chrome,960
2105,4,110.93.82.151,Viewed No Shows Report Output Details,2022-01-16 02:47:06.000,Chrome,976
2106,4,110.93.82.151,Viewed Credit Limit Report Output Details,2022-01-16 02:49:22.000,Chrome,979
2148,21,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-17 01:44:56.000,Chrome,987
2150,10,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2022-01-17 01:49:40.000,Chrome,993
2152,10,59.100.129.30,Exported PM PX Accounts PDF Output Report.,2022-01-17 01:52:25.000,Chrome,994
2153,10,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-17 01:53:42.000,Chrome,995
2154,10,59.100.129.30,Viewed Out of Order Service Rooms Report Output Details,2022-01-17 01:54:33.000,Chrome,996
2155,21,59.100.129.30,Viewed Out of Order Service Rooms Report Output Details,2022-01-17 01:54:35.000,Chrome,989
2157,10,59.100.129.30,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-17 01:55:28.000,Chrome,998
2159,21,59.100.129.30,Viewed Out of Order Service Rooms Report Output Details,2022-01-17 01:57:53.000,Chrome,999
2160,10,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-17 01:59:47.000,Chrome,1000
2162,10,59.100.129.30,Viewed No Shows Report Output Details,2022-01-17 03:01:43.000,Chrome,1004
2164,10,59.100.129.30,Viewed Credit Limit Report Output Details,2022-01-17 03:02:33.000,Chrome,1001
2165,10,59.100.129.30,Viewed Credit Limit Report Output Details,2022-01-17 03:54:03.000,Chrome,1001
2166,10,59.100.129.30,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-17 03:54:13.000,Chrome,998
2171,21,59.100.129.30,Viewed No Shows Report Output Details,2022-01-17 04:01:17.000,Chrome,1008
2183,4,110.93.82.151,Viewed No Shows Report Output Details,2022-01-17 07:15:08.000,Chrome,1004
2184,4,110.93.82.151,Viewed Room Reconciliation After Roll Report Output Details,2022-01-17 07:15:10.000,Chrome,1003
2185,4,110.93.82.151,Viewed FO Paid Out Report Output Details,2022-01-17 07:15:12.000,Chrome,1002
2186,4,110.93.82.151,Viewed Credit Limit Report Output Details,2022-01-17 07:15:14.000,Chrome,1001
2187,4,110.93.82.151,Viewed FO Paid Out Report Output Details,2022-01-17 07:18:33.000,Chrome,1002
2188,4,110.93.82.151,Viewed No Shows Report Output Details,2022-01-17 07:18:35.000,Chrome,1004
1950,9,59.100.129.30,Viewed Credit Limit Report Output Details,2022-01-13 15:56:01.000,Chrome,537
1951,9,59.100.129.30,Viewed Ogone Deposit Posting Report Output Details,2022-01-13 15:57:30.000,Chrome,517
1952,21,59.100.129.30,Viewed CC Surcharge Report Output Details,2022-01-14 01:19:59.000,Chrome,903
1960,5,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-14 02:14:47.000,Chrome,913
1962,21,59.100.129.30,Viewed Ogone Deposit Posting Report Output Details,2022-01-14 02:33:58.000,Chrome,920
1968,21,59.100.129.30,Viewed Credit Limit Report Output Details,2022-01-14 04:32:55.000,Chrome,930
1969,25,20.92.196.55,Viewed CC Surcharge Report Output Details,2022-01-14 06:38:52.000,Chrome,874
1970,25,20.92.196.55,Viewed Adjustment and Correction Report Output Details,2022-01-14 06:39:03.000,Chrome,892
2051,25,112.202.225.60,Viewed No Shows Report Output Details,2022-01-15 06:54:26.000,Chrome,956
2091,5,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-16 01:33:50.000,Chrome,962
2092,5,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-16 01:44:47.000,Chrome,974
2097,21,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-16 01:56:41.000,Chrome,969
2101,21,59.100.129.30,Viewed CC Surcharge Report Output Details,2022-01-16 01:59:40.000,Chrome,967
2110,5,59.100.129.30,Viewed Out of Order Service Rooms Report Output Details,2022-01-16 03:02:13.000,Chrome,966
2112,21,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-16 04:23:03.000,Chrome,980
2113,21,59.100.129.30,Viewed No Shows Report Output Details,2022-01-16 04:23:19.000,Chrome,982
2115,21,59.100.129.30,Viewed FO Paid Out Report Output Details,2022-01-16 04:23:33.000,Chrome,983
2167,10,59.100.129.30,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-17 03:56:36.000,Chrome,998
2168,10,59.100.129.30,Viewed Room Reconciliation After Roll Report Output Details,2022-01-17 03:57:02.000,Chrome,1003
2169,10,59.100.129.30,Viewed Credit Limit Report Output Details,2022-01-17 03:57:42.000,Chrome,1001
2170,21,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-17 04:00:16.000,Chrome,1006
2172,21,59.100.129.30,Viewed FO Paid Out Report Output Details,2022-01-17 04:01:33.000,Chrome,1009
2189,4,110.93.82.151,Viewed CC Surcharge Report Output Details,2022-01-17 07:22:35.000,Chrome,985
2190,4,110.93.82.151,Viewed Adjustment and Correction Report Output Details,2022-01-17 07:22:36.000,Chrome,986
2191,4,110.93.82.151,Viewed Rate Check Report Output Details,2022-01-17 07:22:37.000,Chrome,987
2192,4,110.93.82.151,Viewed PM PX Accounts Report Output Details,2022-01-17 07:22:39.000,Chrome,988
2193,4,110.93.82.151,Viewed Out of Order Service Rooms Report Output Details,2022-01-17 07:22:40.000,Chrome,999
2194,4,110.93.82.151,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-17 07:22:42.000,Chrome,990
2195,4,110.93.82.151,Viewed Ogone Deposit Posting Report Output Details,2022-01-17 07:22:43.000,Chrome,991
2196,4,110.93.82.151,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-17 07:22:45.000,Chrome,1006
2197,4,110.93.82.151,Viewed Room Reconciliation After Roll Report Output Details,2022-01-17 07:22:47.000,Chrome,1007
2198,4,110.93.82.151,Viewed No Shows Report Output Details,2022-01-17 07:22:48.000,Chrome,1008
2199,4,110.93.82.151,Viewed FO Paid Out Report Output Details,2022-01-17 07:22:50.000,Chrome,1009
2200,4,110.93.82.151,Viewed Credit Limit Report Output Details,2022-01-17 07:22:52.000,Chrome,1010
2201,4,110.93.82.151,Viewed Out of Order Service Rooms Report Output Details,2022-01-17 07:27:36.000,Chrome,999
2202,4,110.93.82.151,Viewed Adjustment and Correction Report Output Details,2022-01-18 00:36:30.000,Chrome,993
2204,10,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-18 01:19:31.000,Chrome,1020
2205,21,59.100.129.30,Viewed Ogone Deposit Posting Report Output Details,2022-01-18 01:31:11.000,Chrome,1017
2206,21,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2022-01-18 01:35:36.000,Chrome,1026
2207,10,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-18 01:36:21.000,Chrome,1028
2208,10,59.100.129.30,Viewed CC Surcharge Report Output Details,2022-01-18 01:39:19.000,Chrome,1018
2210,10,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2022-01-18 01:49:11.000,Chrome,1021
1982,25,20.92.196.55,Viewed CC Surcharge Report Output Details,2022-01-14 07:13:25.000,Chrome,910
1983,25,20.92.196.55,Viewed Adjustment and Correction Report Output Details,2022-01-14 07:13:30.000,Chrome,911
1984,25,20.92.196.55,Viewed PM PX Accounts Report Output Details,2022-01-14 07:13:36.000,Chrome,912
1985,25,20.92.196.55,Viewed Rate Check Report Output Details,2022-01-14 07:13:47.000,Chrome,913
1986,25,20.92.196.55,Viewed Out of Order Service Rooms Report Output Details,2022-01-14 07:13:53.000,Chrome,914
1987,25,20.92.196.55,Viewed Ogone Deposit Posting Report Output Details,2022-01-14 07:13:59.000,Chrome,919
1988,25,20.92.196.55,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-14 07:14:08.000,Chrome,917
1989,25,20.92.196.55,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-14 07:14:16.000,Chrome,921
1990,25,20.92.196.55,Viewed No Shows Report Output Details,2022-01-14 07:14:19.000,Chrome,922
1991,25,20.92.196.55,Viewed Room Reconciliation After Roll Report Output Details,2022-01-14 07:14:23.000,Chrome,923
1992,25,20.92.196.55,Viewed FO Paid Out Report Output Details,2022-01-14 07:14:26.000,Chrome,924
1993,25,20.92.196.55,Viewed Credit Limit Report Output Details,2022-01-14 07:14:30.000,Chrome,925
2008,21,59.100.129.30,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-15 01:41:48.000,Chrome,938
2014,5,59.100.129.30,Viewed FO Paid Out Report Output Details,2022-01-15 03:39:47.000,Chrome,952
2017,5,59.100.129.30,Viewed Credit Limit Report Output Details,2022-01-15 03:50:05.000,Chrome,953
2094,5,59.100.129.30,Viewed Adjustment and Correction Report Output Details,2022-01-16 01:52:57.000,Chrome,960
2100,21,59.100.129.30,Viewed PM PX Accounts Report Output Details,2022-01-16 01:59:34.000,Chrome,970
2211,10,59.100.129.30,Viewed CC Surcharge Report Output Details,2022-01-18 01:49:36.000,Chrome,1018
2214,10,59.100.129.30,Viewed Out of Order Service Rooms Report Output Details,2022-01-18 01:52:11.000,Chrome,1022
2216,10,59.100.129.30,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-18 01:52:46.000,Chrome,1024
2217,10,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-18 01:53:23.000,Chrome,1028
2218,10,59.100.129.30,Viewed PM PX Accounts Report Output Details,2022-01-18 02:00:10.000,Chrome,1033
2219,21,59.100.129.30,Viewed Ogone Deposit Posting Report Output Details,2022-01-18 02:22:03.000,Chrome,1017
2220,21,59.100.129.30,Viewed CC Surcharge Report Output Details,2022-01-18 02:22:10.000,Chrome,1025
2221,21,59.100.129.30,Viewed Out of Order Service Rooms Report Output Details,2022-01-18 02:22:21.000,Chrome,1031
2223,10,59.100.129.30,Viewed CC Surcharge Report Output Details,2022-01-18 02:36:26.000,Chrome,992
2224,10,59.100.129.30,Viewed Credit Limit Report Output Details,2022-01-18 02:39:00.000,Chrome,1035
2225,10,59.100.129.30,Viewed No Shows Report Output Details,2022-01-18 02:40:54.000,Chrome,1038
2226,10,59.100.129.30,Viewed Room Reconciliation After Roll Report Output Details,2022-01-18 02:41:50.000,Chrome,1037
2227,10,59.100.129.30,Viewed FO Paid Out Report Output Details,2022-01-18 02:43:20.000,Chrome,1036
2228,10,59.100.129.30,Viewed Credit Limit Report Output Details,2022-01-18 02:43:58.000,Chrome,1040
2230,10,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-18 02:52:10.000,Chrome,1039
2232,21,59.100.129.30,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-18 03:58:02.000,Chrome,1041
2234,25,20.92.196.55,Viewed CC Surcharge Report Output Details,2022-01-18 06:31:41.000,Chrome,985
2235,25,20.92.196.55,Viewed Adjustment and Correction Report Output Details,2022-01-18 06:31:44.000,Chrome,986
2236,25,20.92.196.55,Viewed Rate Check Report Output Details,2022-01-18 06:31:51.000,Chrome,987
2237,25,20.92.196.55,Viewed PM PX Accounts Report Output Details,2022-01-18 06:31:57.000,Chrome,988
2238,25,20.92.196.55,Viewed Out of Order Service Rooms Report Output Details,2022-01-18 06:32:02.000,Chrome,999
2239,25,20.92.196.55,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-18 06:32:09.000,Chrome,990
2240,25,20.92.196.55,Viewed Ogone Deposit Posting Report Output Details,2022-01-18 06:32:14.000,Chrome,991
2241,25,20.92.196.55,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-18 06:32:21.000,Chrome,1006
2242,25,20.92.196.55,Viewed Room Reconciliation After Roll Report Output Details,2022-01-18 06:32:26.000,Chrome,1007
2005,21,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-15 01:31:01.000,Chrome,935
2015,5,59.100.129.30,Viewed Credit Limit Report Output Details,2022-01-15 03:39:50.000,Chrome,953
2016,5,59.100.129.30,Viewed No Shows Report Output Details,2022-01-15 03:39:52.000,Chrome,950
2077,4,110.93.82.151,Viewed CC Surcharge Report Output Details,2022-01-15 08:03:08.000,Chrome,933
2078,4,110.93.82.151,Viewed Adjustment and Correction Report Output Details,2022-01-15 08:03:09.000,Chrome,934
2079,4,110.93.82.151,Viewed Rate Check Report Output Details,2022-01-15 08:03:11.000,Chrome,935
2080,4,110.93.82.151,Viewed PM PX Accounts Report Output Details,2022-01-15 08:03:12.000,Chrome,940
2081,4,110.93.82.151,Viewed Out of Order Service Rooms Report Output Details,2022-01-15 08:03:13.000,Chrome,937
2082,4,110.93.82.151,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-15 08:03:15.000,Chrome,938
2083,4,110.93.82.151,Viewed Ogone Deposit Posting Report Output Details,2022-01-15 08:03:16.000,Chrome,939
2084,4,110.93.82.151,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-15 08:03:18.000,Chrome,954
2085,4,110.93.82.151,Viewed Room Reconciliation After Roll Report Output Details,2022-01-15 08:03:19.000,Chrome,955
2086,4,110.93.82.151,Viewed No Shows Report Output Details,2022-01-15 08:03:23.000,Chrome,956
2087,4,110.93.82.151,Viewed FO Paid Out Report Output Details,2022-01-15 08:03:25.000,Chrome,957
2088,4,110.93.82.151,Viewed Credit Limit Report Output Details,2022-01-15 08:03:26.000,Chrome,958
2116,4,110.93.82.151,Viewed CC Surcharge Report Output Details,2022-01-16 07:50:01.000,Chrome,959
2117,4,110.93.82.151,Viewed Adjustment and Correction Report Output Details,2022-01-16 07:50:02.000,Chrome,960
2118,4,110.93.82.151,Viewed PM PX Accounts Report Output Details,2022-01-16 07:50:04.000,Chrome,961
2119,4,110.93.82.151,Viewed Rate Check Report Output Details,2022-01-16 07:50:05.000,Chrome,974
2120,4,110.93.82.151,Viewed Out of Order Service Rooms Report Output Details,2022-01-16 07:50:08.000,Chrome,966
2121,4,110.93.82.151,Viewed Ogone Deposit Posting Report Output Details,2022-01-16 07:50:10.000,Chrome,964
2122,4,110.93.82.151,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-16 07:50:12.000,Chrome,965
2123,4,110.93.82.151,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-16 07:50:15.000,Chrome,975
2124,4,110.93.82.151,Viewed No Shows Report Output Details,2022-01-16 07:50:16.000,Chrome,976
2125,4,110.93.82.151,Viewed Room Reconciliation After Roll Report Output Details,2022-01-16 07:50:18.000,Chrome,977
2126,4,110.93.82.151,Viewed FO Paid Out Report Output Details,2022-01-16 07:50:19.000,Chrome,978
